node_name,execution_time,node_started_at,node_finished_at,node_status,dbt_pid,thread_name
ur_stg_1,191.26149225234985,2022-08-24T01:38:25.265359,2022-08-24T01:41:36.530763,success,154185,Thread-1
ur_stg_3,192.13927674293518,2022-08-24T01:38:25.266151,2022-08-24T01:41:37.412942,success,154185,Thread-3
ur_stg_2,199.37214064598083,2022-08-24T01:38:25.265799,2022-08-24T01:41:44.643433,success,154185,Thread-2
ur_stg2_1,8.396016359329224,2022-08-24T01:41:36.531911,2022-08-24T01:41:44.930331,success,154185,Thread-5
ur_stg2_3,8.245515823364258,2022-08-24T01:41:37.414536,2022-08-24T01:41:45.662640,success,154185,Thread-1
ur_stg2_2,6.395102024078369,2022-08-24T01:41:44.644822,2022-08-24T01:41:51.042950,success,154185,Thread-3
kdigo_uo,3.9316906929016113,2022-08-24T01:41:51.045301,2022-08-24T01:41:54.978953,success,154185,Thread-2
