node_name,execution_time,node_started_at,node_finished_at,node_status,dbt_pid,thread_name
ur_stg_1,140.32176399230957,2022-08-24T01:27:36.686739,2022-08-24T01:29:57.011302,success,152939,Thread-1
ur_stg_2,147.78314423561096,2022-08-24T01:29:57.012156,2022-08-24T01:32:24.797876,success,152939,Thread-1
ur_stg_3,139.88650798797607,2022-08-24T01:32:24.798519,2022-08-24T01:34:44.687812,success,152939,Thread-1
ur_stg2_1,5.764031410217285,2022-08-24T01:34:44.688345,2022-08-24T01:34:50.455178,success,152939,Thread-1
ur_stg2_2,5.766761064529419,2022-08-24T01:34:50.455838,2022-08-24T01:34:56.225051,success,152939,Thread-1
ur_stg2_3,6.056743144989014,2022-08-24T01:34:56.226215,2022-08-24T01:35:02.285552,success,152939,Thread-1
kdigo_uo,4.166137933731079,2022-08-24T01:35:02.286819,2022-08-24T01:35:06.455643,success,152939,Thread-1
